Año,Región,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos graves,Lesionados Leves,Total lesionados,Parque Vehicular,Poblacion,Siniestros por parque vehicular (por 10000 vehiculos),Siniestros por cantidad de habitantes (por 100000 habitantes),Fallecidos por parque vehicular (por 10000 vehiculos),Fallecidos por cantidad de habitantes (por 100000 habitantes),Lesionados por parque vehicular (por 10000 vehiculos),Lesionados por cantidad de habitantes (por 100000 habitantes)
2005,L.B.O´Higgins,1852,147,473,281,1880,2634,138491,807413,"133,727101400091","229,374558001915","10,6144081564867","18,2062959105192","190,192864518272","326,227098151751"
2005,Maule,2597,148,507,376,2529,3412,141262,940967,"183,842788577254","275,992675619868","10,4769860259659","15,7285005744091","241,537002166188","362,605702431647"
2005,Biobio,3842,216,870,566,4581,6017,250421,1896731,"153,421637961673","202,559034465088","8,62547470060418","11,388014431145","240,275376266367","317,230013112033"
2005,Araucanía,1318,109,332,200,1616,2148,109238,886061,"120,653984877057","148,748223880749","9,97821270986287","12,3016361176036","196,634870649408","242,421232849657"
2005,Los Lagos,1770,164,514,328,1985,2827,138071,1101064,"128,194914210805","160,753598337608","11,8779468534305","14,8946836877784","204,749730211268","256,75165113018"
2005,Aysén,364,14,45,31,287,363,15289,96024,"238,079665118713","379,071898691994","9,15691019687357","14,5796884112305","237,42560010465","378,030492376906"
2005,Magallanes,194,21,37,27,194,258,44287,163420,"43,8051798496173","118,712519887407","4,741797818773","12,850324317709","58,2563732020683","157,875413046139"
2005,Total,46328,1626,6844,4878,36070,47792,2501348,15607848,"185,212133617553","296,82503314999","6,50049493313206","10,417835950222","191,06497776399","306,204929725097"
2006,Tarapacá,1502,77,257,212,1718,2187,105848,462735,"141,901594739627","324,591829016608","7,27458242007407","16,6401936313441","206,617035749376","472,624720412331"
2006,Antofagasta,2019,67,402,290,2020,2712,98909,524234,"204,127025852046","385,133356478214","6,77390328483758","12,7805521961567","274,191428484769","517,32623217876"
2006,Atacama,574,34,170,85,755,1010,48517,262824,"118,309046313663","218,397102243326","7,00785291753406","12,9364137217301","208,174454314982","384,287584086689"
2006,Coquimbo,1473,61,201,210,1218,1629,93177,647384,"158,086222994945","227,531109820447","6,54667997467186","9,42253747389494","174,828552110499","251,628090901227"
2006,Valparaíso,4866,144,753,421,4428,5602,277017,1779265,"175,657089637098","273,48371378069","5,19823693130747","8,09322950768997","202,225856174892","314,849109042217"
2006,Metropolitana,20654,405,2112,1333,11902,15347,1137565,6341620,"181,563251330693","325,689650278635","3,56023611837565","6,38638076705952","134,910972120274","242,004408968056"
2006,L.B.O´Higgins,1835,164,377,275,1826,2478,143066,816341,"128,262480253869","224,783515712184","11,4632407420351","20,0896439110617","173,206771699775","303,549619582993"
2006,Maule,3631,136,450,341,2600,3391,154037,951090,"235,722586131903","381,772492613738","8,82904756649377","14,2993828134036","220,141913955738","356,538287648908"
2006,Biobio,4012,260,859,661,4888,6408,277001,1908455,"144,837022249017","210,222405034439","9,38624770307689","13,6235855705269","231,334904928141","335,768985907449"
2006,Araucanía,1734,116,331,223,1799,2353,109725,890907,"158,031442241969","194,633109853217","10,5718842560948","13,0204387214378","214,445203918888","264,112864754683"
2006,Los Lagos,1737,152,479,340,2014,2833,151079,1110425,"114,972961166012","156,426593421438","10,0609614837271","13,6884526194925","187,517788706571","255,127541256726"
2006,Aysén,264,18,44,27,228,299,16933,96901,"155,908580877576","272,443008844078","10,6301305143802","18,5756596939144","176,578279099982","308,5623471378"
2006,Magallanes,538,18,80,72,624,776,45018,164467,"119,507752454574","327,11729404683","3,9984006397441","10,944444782236","172,375494246746","471,827175056394"
2006,Total,44839,1652,6515,4490,36020,47025,2657892,15771786,"168,701361831105","284,298810546884","6,21545194462378","10,47440029937","176,925924755408","298,159003679101"
2007,Arica y Parinacota,852,25,116,107,669,892,40964,191518,"207,987501220584","444,866801031757","6,10291963675422","13,0536033166595","217,752172639391","465,752566338412"
2007,Tarapacá,1471,36,204,151,1375,1730,72666,279751,"202,433049844494","525,824751296689","4,95417389150359","12,8685867074649","238,075578675034","618,407083442061"
2007,Antofagasta,2387,64,262,251,2085,2598,106399,531834,"224,344213761408","448,824257193034","6,0150941268245","12,0338301048824","244,175227210782","488,498290820068"
2007,Atacama,953,29,158,109,913,1180,50845,264946,"187,432392565641","359,695938040204","5,70360900776871","10,9456266559978","232,077883764382","445,373774278532"
2007,Coquimbo,1749,57,243,197,1597,2037,101611,654668,"172,127033490469","267,158315359847","5,60962887876313","8,70670324500357","200,470421509482","311,150079124075"
2007,Valparaíso,6406,152,750,432,4840,6022,287282,1631867,"222,986473221434","392,556501234476","5,29096845608148","9,31448457502971","209,619816069228","369,025171781769"
2007,Metropolitana,22499,434,2479,1486,13432,17397,1217938,6411727,"184,730257205211","350,903898434852","3,56339977897069","6,76884714523872","142,839783305883","271,330953423313"
2007,L.B.O´Higgins,2476,172,448,344,2353,3145,150205,825270,"164,841383442628","300,023022768306","11,4510169435105","20,8416639402862","209,380513298492","381,087401698838"
2007,Maule,4229,175,526,382,3008,3916,166793,953714,"253,547810759444","443,424338952768","10,4920470283525","18,3493164617485","234,782035217305","410,605275795469"
2007,Biobio,4701,232,1036,716,5563,7315,292839,1920177,"160,531896366263","244,821180547418","7,92244202445713","12,0822195037228","249,795962969413","380,954464093675"
2007,Araucanía,2409,123,460,313,2422,3195,117495,898763,"205,03000127665","268,035065974011","10,4685305757692","13,6854765939408","271,926464955956","355,488599330413"
