Año,Mes,Día,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos graves,Lesionados Leves,Total lesionados,Parque Vehicular,Poblacion,Siniestros por parque vehicular (por 10000 vehiculos),Siniestros por cantidad de habitantes (por 100000 habitantes),Fallecidos por parque vehicular (por 10000 vehiculos),Fallecidos por cantidad de habitantes (por 100000 habitantes),Lesionados por parque vehicular (por 10000 vehiculos),Lesionados por cantidad de habitantes (por 100000 habitantes)
2000,Junio,Lunes,419,25,83,82,360,525,2134940,14788299,"1,96258442860221","2,83332112773754","0,117099309582471","0,16905257325403","2,45908550123188","3,55010403833463"
2000,Junio,Martes,459,11,71,78,346,495,2134940,14788299,"2,14994332393416","3,10380524494399","0,0515236962162871","0,0743831322317732","2,31856632973292","3,3472409504298"
2000,Junio,Miércoles,478,11,83,73,359,515,2134940,14788299,"2,23893879921684","3,23228520061706","0,0515236962162871","0,0743831322317732","2,4122457773989","3,48248300903302"
2000,Junio,Jueves,568,21,119,95,463,677,2134940,14788299,"2,66049631371373","3,84087446433156","0,0983634200492754","0,142004161533385","3,17104930349331","4,57794368371914"
2000,Junio,Viernes,613,11,110,99,382,591,2134940,14788299,"2,87127507096218","4,14516909618882","0,0515236962162871","0,0743831322317732","2,76822767852961","3,99640283172527"
2000,Junio,Sábado,522,24,120,77,423,620,2134940,14788299,"2,44503358408199","3,52981772954415","0,112415337199172","0,162290470323869","2,90406287764527","4,19250381669995"
2000,Junio,Domingo,460,23,111,83,370,564,2134940,14788299,"2,15462729631746","3,11056734787415","0,107731364815873","0,155528367393708","2,64176042418054","3,81382605261092"
2000,Total Junio,,3519,126,697,587,2703,3987,2134940,14788299,"16,4828988168286","23,7958402112373","0,590180520295652","0,852024969200312","18,6749978922124","26,9605043825527"
2000,Julio,Lunes,486,24,96,68,396,560,2134940,14788299,"2,27641057828323","3,28638202405835","0,112415337199172","0,162290470323869","2,62302453464734","3,78677764089027"
2000,Julio,Martes,412,7,78,53,316,447,2134940,14788299,"1,92979662191912","2,78598640722642","0,0327878066830918","0,0473347205111284","2,09373565533458","3,02266000978206"
